,nodeID,nodeType,parentID,parentID,option,nodeText,ScenarioCategory,H_p,H_a,TypeOfCase,ProfileCategorie,POI,CP,n,Location,POImatchingCategory,TransferConsiderations,Substrate,PersistenceTime,PersistenceEnvironment,PersistenceInterveningActivities,SocialInteractions,Washed
,1,selectbox,null,null,null,Type of case?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,2,textarea,1,1,blood,"The prosecution's activity level proposition is that the Suspect ______________ the Complainant.  Please fill in the blank (e.g., assaulted, stabbed).",null,null,null,blood,null,null,null,null,null,null,null,null,null,null,null,null,null
,3,selectbox,1,1,sexual assault,What is the prosecution's activity level proposition?,null,null,null,sexual assault,null,null,null,null,null,null,null,null,null,null,null,null,null
,4,textarea,1,1,trace DNA (airbag),"The prosecution's activity level proposition is that the Suspect drove the car between ______________ (date, time)",null,null,null,trace DNA,null,null,null,null,null,null,null,null,null,null,null,null,null
,5,textarea,2,2,null,"In the prosecution's proposition, what weapon did the Suspect use?  (e.g., a knife, a baseball bat, an unknown weapon, no weapon)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,6,selectbox,5,5,null,What is the alternative proposition / scenario?,null,The Suspect ___________ the Complainant with ____________ .,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,7,selectbox,3,3,Suspect had vaginal intercourse with Complainant,What is the alternative proposition / scenario?,null,Suspect had vaginal intercourse with Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,8,selectbox,3,3,Suspect digitally penetrated Complainant,What is the alternative proposition / scenario?,null,Suspect digitally penetrated Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,9,selectbox,3,3,Suspect licked/sucked breast(s) of Complainant,What is the alternative proposition / scenario?,null,Suspect licked/sucked breast(s) of Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,10,textarea,4,4,null,"and ______________ (date, time)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,11,selectbox,10,10,null,What is the alternative proposition / scenario?,null,The Suspect drove the car between __________ and ____________ .,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,12,selectbox,6,6,Someone else performed this activity,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Someone else ___________ Complainant with _________,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,13,selectbox,6,6,Suspect performed this activity on someone else,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Suspect ___________ someone else with ___________,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,14,textarea,6,6,Suspect performed this activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,15,textarea,6,6,Suspect performed a different activity at same time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,16,textarea,6,6,Suspect performed a different activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,17,textarea,6,6,Secondary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,18,textarea,6,6,Tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,19,textarea,6,6,More than tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,20,selectbox,6,6,"None of the above (i.e., alternative does not contain an activity)",Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),1,null,Suspect did not __________ Complainant with __________ (no alternative activity),null,null,null,null,null,null,null,null,null,null,null,null,null,null
,21,selectbox,7,7,Someone else performed this activity,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Someone else had vaginal intercourse with Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,22,selectbox,7,7,Suspect performed this activity with someone else,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Suspect had vaginal intercourse with someone else,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,23,textarea,7,7,Suspect performed this activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,24,textarea,7,7,Suspect performed a different activity at same time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,25,textarea,7,7,Suspect performed a different activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,26,textarea,7,7,Secondary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,27,textarea,7,7,Tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,28,textarea,7,7,More than tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,29,selectbox,7,7,"None of the above (i.e., alternative does not contain an activity)",Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),1,null,Suspect did not have vaginal intercourse with Complainant (no alternative activity),null,null,null,null,null,null,null,null,null,null,null,null,null,null
,30,selectbox,8,8,Someone else performed this activity,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Someone else digitally penetrated the Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,31,selectbox,8,8,Suspect performed this activity on someone else,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Suspect digitally penetrated someone else,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,32,textarea,8,8,Suspect performed this activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,33,textarea,8,8,Suspect performed a different activity at same time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,34,textarea,8,8,Suspect performed a different activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,35,textarea,8,8,Secondary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,36,textarea,8,8,Tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,37,textarea,8,8,More than tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,38,selectbox,8,8,"None of the above (i.e., alternative does not contain an activity)",Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),1,null,Suspect did not digitally penetrate the Complainant (no alternative activity),null,null,null,null,null,null,null,null,null,null,null,null,null,null
,39,selectbox,9,9,Someone else performed this activity,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Someone else licked/sucked breast(s) of Complainant,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,40,selectbox,9,9,Suspect performed this activity on someone else,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Suspect licked/sucked breast(s) of someone else,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,41,textarea,9,9,Suspect performed this activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,42,textarea,9,9,Suspect performed a different activity at same time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,43,textarea,9,9,Suspect performed a different activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,44,textarea,9,9,Secondary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,45,textarea,9,9,Tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,46,textarea,9,9,More than tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,47,selectbox,9,9,"None of the above (i.e., alternative does not contain an activity)",Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),1,null,Suspect did not lick/suck breast(s) of Complainant (no alternative activity),null,null,null,null,null,null,null,null,null,null,null,null,null,null
,48,selectbox,11,11,Someone else performed this activity,Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),3,null,Someone else drove the car between ________ and ___________,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,49,textarea,11,11,Suspect performed this activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,50,textarea,11,11,Suspect performed a different activity at same time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,51,textarea,11,11,Suspect performed a different activity at a different time,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,52,textarea,11,11,Secondary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,53,textarea,11,11,Tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,54,textarea,11,11,More than tertiary transfer scenario,What is the alternative proposition?,2,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
,55,selectbox,11,11,"None of the above (i.e., alternative does not contain an activity)",Who is considered the person of interest?  (Whose DNA do we expect to see if H_p is true?),1,null,Suspect did not drive the car (no alternative activity),null,null,null,null,null,null,null,null,null,null,null,null,null,null
2,56,textarea,12,12,Suspect,"Whose DNA profile(s) is expected under H_p and under H_d? (What are the conditioning profiles?)  Please answer with one or multiple of the following: Complainant/Victim, Elimination 1, Elimination 2. If there are no conditioning profiles, please leave blank.",null,null,null,null,null,Suspect,,null,null,null,null,null,null,null,null,null,null
3,57,textarea,12,12,Complainant/Victim,"Whose DNA profile(s) is expected under H_p and under H_d? (What are the conditioning profiles?)  Please answer with one or multiple of the following: Suspect, Elimination 1, Elimination 2. If there are no conditioning profiles, please leave blank.",null,null,null,null,null,Complainant/Victim,,null,null,null,null,null,null,null,null,null,null
4,58,selectbox,56,56,null,Type of profile?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
5,59,leaf,59,58,No DNA (or only CP),absense of DNA likelihood ratio equations,null,null,null,null,a,null,null,null,null,null,null,null,null,null,null,null,null
6,60,selectbox,59,58,POI (and CP),Do Suspect and Complainant / Victim live together?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
7,61,textarea,59,58,Unknown(s) (and CP),Number of unknown contributors? ,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null
8,62,textarea,59,58,"POI, unknown(s) (and CP)",Number of unknown contributors? ,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null
9,63,selectbox,61,60,No,Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
10,64,selectbox,61,60,"Yes, with no one else",Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
11,65,selectbox,61,60,"Yes, with other(s)",Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12,66,leaf,64,63,No,"single profile matching POI likelihood ratio equations (no cohabitation, no contamination)",null,null,null,null,b,null,null,null,null,null,null,null,null,null,null,null,null
13,67,leaf,64,63,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","single profile matching POI likelihood ratio equations, no cohabitation, with contamination probability c_1",null,null,null,null,c,null,null,null,null,null,null,null,null,null,null,null,null
14,68,leaf,64,63,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","single profile matching POI likelihood ratio equations, no cohabitation, with contamination probability c_1\gamma",null,null,null,null,d,null,null,null,null,null,null,null,null,null,null,null,null
15,69,leaf,65,64,No,"single profile matching POI likelihood ratio equations, with cohabitation (no one else), no contamination",null,null,null,null,e,null,null,null,null,null,null,null,null,null,null,null,null
16,70,leaf,65,64,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","single profile matching POI likelihood ratio equations, with cohabitation (no one else), with contamination probability c_1",null,null,null,null,f,null,null,null,null,null,null,null,null,null,null,null,null
17,71,leaf,65,64,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","single profile matching POI likelihood ratio equations, with cohabitation (no one else), with contamination probability c_1\gamma",null,null,null,null,g,null,null,null,null,null,null,null,null,null,null,null,null
18,72,leaf,66,65,No,"single profile matching POI likelihood ratio equations, with cohabitation (plus other(s)), no contamination",null,null,null,null,h,null,null,null,null,null,null,null,null,null,null,null,null
19,73,leaf,66,65,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","single profile matching POI likelihood ratio equations, with cohabitation (plus other(s)), with contamination probability c_1",null,null,null,null,i,null,null,null,null,null,null,null,null,null,null,null,null
20,74,leaf,66,65,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","single profile matching POI likelihood ratio equations, with cohabitation (plus other(s)), with contamination probability c_1\gamma",null,null,null,null,j,null,null,null,null,null,null,null,null,null,null,null,null
21,75,selectbox,7,61,null,Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
22,76,selectbox,8,62,null,Do Suspect and Complainant / Victim live together?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
23,77,selectbox,22,76,No,Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
24,78,selectbox,22,76,"Yes, with no one else",Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
25,79,selectbox,22,76,"Yes, with other(s)",Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
26,80,leaf,23,77,No,"matching POI likelihood ratio equations for n+1 contributors (no cohabitation, no contamination)",null,null,null,null,k,null,null,null,null,null,null,null,null,null,null,null,null
27,81,leaf,23,77,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","matching POI likelihood ratio equations for n+1 contributors, no cohabitation, with contamination probability c_1",null,null,null,null,l,null,null,null,null,null,null,null,null,null,null,null,null
28,82,leaf,23,77,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","matching POI likelihood ratio equations for n+1 contributors, no cohabitation, with contamination probability c_1\gamma",null,null,null,null,m,null,null,null,null,null,null,null,null,null,null,null,null
29,83,leaf,24,78,No,"matching POI likelihood ratio equations for n+1 contributors, with cohabitation (no one else), no contamination",null,null,null,null,n,null,null,null,null,null,null,null,null,null,null,null,null
30,84,leaf,24,78,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","matching POI likelihood ratio equations for n+1 contributors, with cohabitation (no one else), with contamination probability c_1",null,null,null,null,o,null,null,null,null,null,null,null,null,null,null,null,null
31,85,leaf,24,78,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","matching POI likelihood ratio equations for n+1 contributors, with cohabitation (no one else), with contamination probability c_1\gamma",null,null,null,null,p,null,null,null,null,null,null,null,null,null,null,null,null
32,86,leaf,25,79,No,"matching POI likelihood ratio equations for n+1 contributors, with cohabitation (plus other(s)), no contamination",null,null,null,null,q,null,null,null,null,null,null,null,null,null,null,null,null
33,87,leaf,25,79,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","matching POI likelihood ratio equations for n+1 contributors, with cohabitation (plus other(s)), with contamination probability c_1",null,null,null,null,r,null,null,null,null,null,null,null,null,null,null,null,null
34,88,leaf,25,79,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","matching POI likelihood ratio equations for n+1 contributors, with cohabitation (plus other(s)), with contamination probability c_1\gamma",null,null,null,null,s,null,null,null,null,null,null,null,null,null,null,null,null
35,89,leaf,21,75,No,"not matching POI likelihood ratio equations for n contributors, no contamination",null,null,null,null,t,null,null,null,null,null,null,null,null,null,null,null,null
36,90,leaf,21,75,Yes,"not matching POI likelihood ratio equations for n contributors, with contamination probability c_1\gamma",null,null,null,null,u,null,null,null,null,null,null,null,null,null,null,null,null
37,91,selectbox,3,57,null,Type of profile?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
38,92,leaf,37,91,No DNA (or only CP),absense of DNA likelihood ratio equations,null,null,null,null,a,null,null,null,null,null,null,null,null,null,null,null,null
39,93,selectbox,37,91,POI (and CP),Do Suspect and Complainant / Victim live together?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
40,94,textarea,37,91,Unknown(s) (and CP),Number of unknown contributors? ,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null
41,95,textarea,37,91,"POI, unknown(s) (and CP)",Number of unknown contributors? ,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null
42,96,selectbox,39,93,No,Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
43,97,selectbox,39,93,"Yes, with no one else",Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
44,98,selectbox,39,93,"Yes, with other(s)",Is contamination an issue?,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
45,99,leaf,42,96,No,"single profile matching POI likelihood ratio equations (no cohabitation, no contamination)",null,null,null,null,b,null,null,null,null,null,null,null,null,null,null,null,null
46,100,leaf,42,96,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","single profile matching POI likelihood ratio equations, no cohabitation, with contamination probability c_1",null,null,null,null,c,null,null,null,null,null,null,null,null,null,null,null,null
47,101,leaf,42,96,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","single profile matching POI likelihood ratio equations, no cohabitation, with contamination probability c_1\gamma",null,null,null,null,d,null,null,null,null,null,null,null,null,null,null,null,null
48,102,leaf,43,97,No,"single profile matching POI likelihood ratio equations, with cohabitation (no one else), no contamination",null,null,null,null,e,null,null,null,null,null,null,null,null,null,null,null,null
49,103,leaf,43,97,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","single profile matching POI likelihood ratio equations, with cohabitation (no one else), with contamination probability c_1",null,null,null,null,f,null,null,null,null,null,null,null,null,null,null,null,null
50,104,leaf,43,97,"Yes, this DNA could have been contaminated through ""generic"" contamination (i.e., no specific source of contamination)","single profile matching POI likelihood ratio equations, with cohabitation (no one else), with contamination probability c_1\gamma",null,null,null,null,g,null,null,null,null,null,null,null,null,null,null,null,null
51,105,leaf,44,98,No,"single profile matching POI likelihood ratio equations, with cohabitation (plus other(s)), no contamination",null,null,null,null,h,null,null,null,null,null,null,null,null,null,null,null,null
52,106,leaf,44,98,"Yes, this DNA could have been contaminated with the POI's DNA through officer/investigator/evidence collector/office/other item/scene","single profile matching POI likelihood ratio equations, with cohabitation (plus other(s)), with contamination probability c_1",null,null,null,null,i,null,null,null,null,null,null,null,null,null,null,null,null
